ktestbranch tests_misc_chcon-fail.sh-out/Dev-out-0/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-1/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-3/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-0/devtest.ktest tests_misc_help-version.sh-out/Dev-out-10/devtest.ktest tests_misc_help-version.sh-out/Dev-out-1/devtest.ktest tests_misc_help-version.sh-out/Dev-out-5/devtest.ktest tests_misc_help-version.sh-out/Dev-out-6/devtest.ktest tests_misc_help-version.sh-out/Dev-out-3/devtest.ktest tests_misc_help-version.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-8/devtest.ktest tests_misc_help-version.sh-out/Dev-out-11/devtest.ktest tests_misc_help-version.sh-out/Dev-out-7/devtest.ktest tests_misc_help-version.sh-out/Dev-out-9/devtest.ktest tests_misc_help-version.sh-out/Dev-out-4/devtest.ktest tests_misc_invalid-opt.pl-out/Dev-out-0/devtest.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000003.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000001.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000004.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000002.ktest
src/chcon.c/72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/81 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/86 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/93 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/94 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
src/chcon.c/95 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 
src/chcon.c/96 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 
src/chcon.c/97 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 
src/chcon.c/98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/105 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/109 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/113 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 
src/chcon.c/114 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 
src/chcon.c/115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 
src/chcon.c/116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/117 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
src/chcon.c/118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/124 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 
src/chcon.c/125 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/126 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/127 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
src/chcon.c/128 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 
src/chcon.c/130 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/131 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 
src/chcon.c/134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/136 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
src/chcon.c/138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
src/chcon.c/139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/141 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/147 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
src/chcon.c/148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/150 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
src/chcon.c/151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 
