ktestSM MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000003.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000001.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000004.ktest MFI_KLEE_TOPDIR_TEST_TEMPLATE.sh-out/klee-out-0/test000002.ktest tests_misc_chcon-fail.sh-out/Dev-out-0/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-1/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-3/devtest.ktest tests_misc_chcon-fail.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-0/devtest.ktest tests_misc_help-version.sh-out/Dev-out-10/devtest.ktest tests_misc_help-version.sh-out/Dev-out-1/devtest.ktest tests_misc_help-version.sh-out/Dev-out-5/devtest.ktest tests_misc_help-version.sh-out/Dev-out-6/devtest.ktest tests_misc_help-version.sh-out/Dev-out-3/devtest.ktest tests_misc_help-version.sh-out/Dev-out-2/devtest.ktest tests_misc_help-version.sh-out/Dev-out-8/devtest.ktest tests_misc_help-version.sh-out/Dev-out-11/devtest.ktest tests_misc_help-version.sh-out/Dev-out-7/devtest.ktest tests_misc_help-version.sh-out/Dev-out-9/devtest.ktest tests_misc_help-version.sh-out/Dev-out-4/devtest.ktest tests_misc_invalid-opt.pl-out/Dev-out-0/devtest.ktest
chcon/1642 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1313 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1312 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1050 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1051 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1052 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1647 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1756 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1351 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1646 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1357 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1356 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1354 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/11 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1
chcon/1684 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1687 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1686 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1681 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1680 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1683 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1648 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1689 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1688 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1752 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/389 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/1 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1
chcon/1751 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/2 0 0 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1
chcon/380 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/385 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/476 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/477 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/470 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/471 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/479 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1615 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1539 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1535 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1532 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1530 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1759 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1430 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/910 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1241 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1758 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1750 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/914 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/274 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
chcon/275 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/276 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/277 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
chcon/270 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/271 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/272 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/273 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/377 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/376 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/371 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/370 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/372 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/378 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1548 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1549 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1226 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1225 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1540 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1541 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1547 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1544 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1545 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1935 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1934 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1942 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1941 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1822 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1825 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1939 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1827 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1938 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1682 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1164 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/756 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/755 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/754 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1481 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1480 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1767 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1765 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1762 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1488 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1317 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1314 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/59 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/58 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/1311 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1310 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/54 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/57 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/56 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/51 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/50 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/53 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/52 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/858 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/859 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/850 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/851 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/852 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/853 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/854 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/855 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/856 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/857 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/1373 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/539 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/538 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/350 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1160 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1161 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1009 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1008 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1165 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1166 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1167 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1002 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1001 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1000 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1007 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1006 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/28 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/29 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/1360 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1367 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1788 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1368 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1369 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/24 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/26 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/27 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1
chcon/1182 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1183 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1180 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1181 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1162 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1184 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1185 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1163 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/408 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/406 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/402 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0
chcon/401 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0
chcon/400 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1269 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1268 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1265 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1264 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1263 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1261 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1260 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1168 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1503 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1500 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1169 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1866 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/1862 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chcon/887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
